cycle,motion,seq_index,timestamp,f0_px,f0_py,f0_scale,f1_px,f1_py,f1_scale,f2_px,f2_py,f2_scale,f3_px,f3_py,f3_scale,f4_px,f4_py,f4_scale,f5_px,f5_py,f5_scale,f6_px,f6_py,f6_scale,f7_px,f7_py,f7_scale,f8_px,f8_py,f8_scale,f9_px,f9_py,f9_scale,f10_px,f10_py,f10_scale,f11_px,f11_py,f11_scale,f12_px,f12_py,f12_scale,f13_px,f13_py,f13_scale,f14_px,f14_py,f14_scale,f15_px,f15_py,f15_scale,f16_px,f16_py,f16_scale,f17_px,f17_py,f17_scale,f18_px,f18_py,f18_scale,f19_px,f19_py,f19_scale,f20_px,f20_py,f20_scale,f21_px,f21_py,f21_scale,f22_px,f22_py,f22_scale,f23_px,f23_py,f23_scale,f24_px,f24_py,f24_scale,f25_px,f25_py,f25_scale,f26_px,f26_py,f26_scale,f27_px,f27_py,f27_scale,f28_px,f28_py,f28_scale,f29_px,f29_py,f29_scale
1,swipe_up,10,1774745146.369909,0.541668,0.526363,0.098206,0.542101,0.525991,0.097838,0.541548,0.526790,0.100074,0.541437,0.526380,0.095321,0.541665,0.526334,0.098253,0.541854,0.525672,0.097019,0.535150,0.523489,0.093461,0.616782,0.020596,0.278267,0.615715,0.042224,0.254504,0.615502,0.043549,0.255029,0.616629,0.045536,0.247977,0.610271,0.045597,0.253526,0.609799,0.046325,0.254549,0.603597,0.053449,0.274637,0.603628,0.051888,0.275025,0.598894,0.059676,0.289325,0.599955,0.061855,0.290403,0.600839,0.065979,0.307442,0.601519,0.066690,0.311938,0.602967,0.078008,0.324371,0.603341,0.106098,0.312422,0.603571,0.104620,0.317435,0.603717,0.105799,0.317422,0.599462,0.138250,0.173096,0.600647,0.138806,0.180823,0.586478,0.251685,0.117480,0.591878,0.292229,0.099032,0.591117,0.292264,0.097932,0.601932,0.347826,0.086664,0.591724,0.378126,0.085026
1,swipe_up,11,1774745146.532208,0.541854,0.525672,0.097019,0.535150,0.523489,0.093461,0.616782,0.020596,0.278267,0.615715,0.042224,0.254504,0.615502,0.043549,0.255029,0.616629,0.045536,0.247977,0.610271,0.045597,0.253526,0.609799,0.046325,0.254549,0.603597,0.053449,0.274637,0.603628,0.051888,0.275025,0.598894,0.059676,0.289325,0.599955,0.061855,0.290403,0.600839,0.065979,0.307442,0.601519,0.066690,0.311938,0.602967,0.078008,0.324371,0.603341,0.106098,0.312422,0.603571,0.104620,0.317435,0.603717,0.105799,0.317422,0.599462,0.138250,0.173096,0.600647,0.138806,0.180823,0.586478,0.251685,0.117480,0.591878,0.292229,0.099032,0.591117,0.292264,0.097932,0.601932,0.347826,0.086664,0.591724,0.378126,0.085026,0.592331,0.384005,0.091529,0.592276,0.383074,0.083602,0.585203,0.425248,0.081660,0.586137,0.424910,0.087157,0.594539,0.438929,0.094437
1,swipe_up,12,1774745150.046654,0.563649,0.491007,0.158635,0.551267,0.506261,0.217817,0.549341,0.503082,0.211459,0.554504,0.544598,0.238703,0.549557,0.536625,0.245786,0.560602,0.569336,0.270752,0.559202,0.567280,0.273033,0.551281,0.599616,0.287600,0.550318,0.600085,0.286856,0.556250,0.608235,0.296943,0.547108,0.239264,0.274985,0.547346,0.240716,0.284043,0.548937,0.207764,0.285226,0.547189,0.206890,0.294558,0.538512,0.167236,0.299310,0.538998,0.168633,0.304985,0.543883,0.138509,0.313453,0.544200,0.137590,0.317851,0.544166,0.115101,0.259654,0.545167,0.114263,0.246911,0.547684,0.102143,0.272288,0.548321,0.102125,0.266459,0.547594,0.104056,0.295850,0.549166,0.105209,0.285704,0.551364,0.111900,0.283232,0.551348,0.111164,0.280168,0.553551,0.111305,0.281883,0.552391,0.111963,0.278225,0.557159,0.105272,0.277158,0.554087,0.104641,0.281763
1,swipe_up,13,1774745152.688622,0.515951,0.701881,0.311978,0.515855,0.696837,0.313047,0.516134,0.697168,0.313268,0.516068,0.692205,0.315161,0.515215,0.693739,0.315388,0.516123,0.690574,0.314669,0.516478,0.691129,0.313478,0.515239,0.688383,0.314070,0.514735,0.688167,0.313967,0.512788,0.689415,0.310687,0.513330,0.690054,0.312444,0.511790,0.691985,0.309719,0.512880,0.692543,0.312769,0.511829,0.692906,0.310432,0.512110,0.693249,0.312239,0.510371,0.692146,0.311054,0.510775,0.692198,0.311258,0.510574,0.690930,0.310457,0.511065,0.690498,0.311251,0.509870,0.683343,0.306113,0.510185,0.684209,0.306739,0.508715,0.665286,0.304332,0.510607,0.667083,0.307481,0.510070,0.636021,0.305070,0.511839,0.637097,0.305646,0.512395,0.588895,0.297034,0.510848,0.590781,0.285134,0.514260,0.539767,0.299119,0.516005,0.539305,0.302750,0.516760,0.478906,0.306211
1,swipe_up,14,1774745152.855361,0.516123,0.690574,0.314669,0.516478,0.691129,0.313478,0.515239,0.688383,0.314070,0.514735,0.688167,0.313967,0.512788,0.689415,0.310687,0.513330,0.690054,0.312444,0.511790,0.691985,0.309719,0.512880,0.692543,0.312769,0.511829,0.692906,0.310432,0.512110,0.693249,0.312239,0.510371,0.692146,0.311054,0.510775,0.692198,0.311258,0.510574,0.690930,0.310457,0.511065,0.690498,0.311251,0.509870,0.683343,0.306113,0.510185,0.684209,0.306739,0.508715,0.665286,0.304332,0.510607,0.667083,0.307481,0.510070,0.636021,0.305070,0.511839,0.637097,0.305646,0.512395,0.588895,0.297034,0.510848,0.590781,0.285134,0.514260,0.539767,0.299119,0.516005,0.539305,0.302750,0.516760,0.478906,0.306211,0.519280,0.482992,0.303823,0.518957,0.417301,0.320495,0.523184,0.417684,0.297413,0.513664,0.362915,0.310125,0.516918,0.360403,0.303270
1,swipe_up,15,1774745153.025340,0.513330,0.690054,0.312444,0.511790,0.691985,0.309719,0.512880,0.692543,0.312769,0.511829,0.692906,0.310432,0.512110,0.693249,0.312239,0.510371,0.692146,0.311054,0.510775,0.692198,0.311258,0.510574,0.690930,0.310457,0.511065,0.690498,0.311251,0.509870,0.683343,0.306113,0.510185,0.684209,0.306739,0.508715,0.665286,0.304332,0.510607,0.667083,0.307481,0.510070,0.636021,0.305070,0.511839,0.637097,0.305646,0.512395,0.588895,0.297034,0.510848,0.590781,0.285134,0.514260,0.539767,0.299119,0.516005,0.539305,0.302750,0.516760,0.478906,0.306211,0.519280,0.482992,0.303823,0.518957,0.417301,0.320495,0.523184,0.417684,0.297413,0.513664,0.362915,0.310125,0.516918,0.360403,0.303270,0.510983,0.314071,0.295098,0.511844,0.313729,0.291993,0.508322,0.263924,0.295714,0.506442,0.261873,0.292198,0.510229,0.227299,0.291680
1,swipe_up,16,1774745153.194747,0.510371,0.692146,0.311054,0.510775,0.692198,0.311258,0.510574,0.690930,0.310457,0.511065,0.690498,0.311251,0.509870,0.683343,0.306113,0.510185,0.684209,0.306739,0.508715,0.665286,0.304332,0.510607,0.667083,0.307481,0.510070,0.636021,0.305070,0.511839,0.637097,0.305646,0.512395,0.588895,0.297034,0.510848,0.590781,0.285134,0.514260,0.539767,0.299119,0.516005,0.539305,0.302750,0.516760,0.478906,0.306211,0.519280,0.482992,0.303823,0.518957,0.417301,0.320495,0.523184,0.417684,0.297413,0.513664,0.362915,0.310125,0.516918,0.360403,0.303270,0.510983,0.314071,0.295098,0.511844,0.313729,0.291993,0.508322,0.263924,0.295714,0.506442,0.261873,0.292198,0.510229,0.227299,0.291680,0.512370,0.225591,0.284362,0.512296,0.195659,0.279453,0.512836,0.196011,0.276992,0.518939,0.178645,0.279517,0.519495,0.179062,0.278635
1,swipe_up,17,1774745153.363157,0.510185,0.684209,0.306739,0.508715,0.665286,0.304332,0.510607,0.667083,0.307481,0.510070,0.636021,0.305070,0.511839,0.637097,0.305646,0.512395,0.588895,0.297034,0.510848,0.590781,0.285134,0.514260,0.539767,0.299119,0.516005,0.539305,0.302750,0.516760,0.478906,0.306211,0.519280,0.482992,0.303823,0.518957,0.417301,0.320495,0.523184,0.417684,0.297413,0.513664,0.362915,0.310125,0.516918,0.360403,0.303270,0.510983,0.314071,0.295098,0.511844,0.313729,0.291993,0.508322,0.263924,0.295714,0.506442,0.261873,0.292198,0.510229,0.227299,0.291680,0.512370,0.225591,0.284362,0.512296,0.195659,0.279453,0.512836,0.196011,0.276992,0.518939,0.178645,0.279517,0.519495,0.179062,0.278635,0.520028,0.159428,0.275413,0.521631,0.158278,0.275339,0.528985,0.129371,0.168401,0.528793,0.128001,0.165541,0.535102,0.108967,0.198804
1,swipe_up,18,1774745153.531114,0.512395,0.588895,0.297034,0.510848,0.590781,0.285134,0.514260,0.539767,0.299119,0.516005,0.539305,0.302750,0.516760,0.478906,0.306211,0.519280,0.482992,0.303823,0.518957,0.417301,0.320495,0.523184,0.417684,0.297413,0.513664,0.362915,0.310125,0.516918,0.360403,0.303270,0.510983,0.314071,0.295098,0.511844,0.313729,0.291993,0.508322,0.263924,0.295714,0.506442,0.261873,0.292198,0.510229,0.227299,0.291680,0.512370,0.225591,0.284362,0.512296,0.195659,0.279453,0.512836,0.196011,0.276992,0.518939,0.178645,0.279517,0.519495,0.179062,0.278635,0.520028,0.159428,0.275413,0.521631,0.158278,0.275339,0.528985,0.129371,0.168401,0.528793,0.128001,0.165541,0.535102,0.108967,0.198804,0.537350,0.108677,0.186064,0.538349,0.087743,0.180372,0.539746,0.090260,0.158159,0.552929,0.063112,0.144574,0.559287,0.059566,0.135372
1,swipe_up,19,1774745160.089137,0.533858,0.569087,0.283705,0.532821,0.569760,0.284493,0.532498,0.569174,0.285289,0.532649,0.569952,0.288772,0.534125,0.569912,0.288557,0.532743,0.568716,0.293689,0.532909,0.567686,0.292180,0.532608,0.568454,0.288521,0.533020,0.567799,0.288117,0.534963,0.563172,0.292624,0.534910,0.563907,0.291994,0.538287,0.551726,0.281525,0.537319,0.551499,0.281588,0.538599,0.519006,0.283662,0.541112,0.519189,0.280833,0.545098,0.477255,0.300437,0.546943,0.477866,0.296470,0.556987,0.430200,0.294248,0.553340,0.429859,0.282945,0.555462,0.378279,0.293711,0.554842,0.377883,0.290993,0.562373,0.325067,0.301513,0.558196,0.320515,0.303020,0.559765,0.284511,0.303372,0.561857,0.284706,0.300830,0.553693,0.236875,0.292454,0.554301,0.237446,0.282729,0.553706,0.206241,0.287740,0.553728,0.204722,0.290556,0.553343,0.182675,0.281416
